timestamp,open,high,low,close
2009-12-22,269.08,272.41,267.55,270.58
2009-12-23,271.61,275.68,271.14,275.49
2009-12-24,276.25,277.83,275.53,276.95
2009-12-28,279.77,283.3,279.51,281
2009-12-29,281.39,281.92,279.66,280.18
2009-12-30,280.46,281.04,279.42,279.85
2009-12-31,281.34,281.79,279.2,279.28
2010-01-04,284.81,286.36,284.2,285.53
2010-01-05,285.92,286.66,277.21,285.15
2010-01-06,286.72,291.18,286.72,291
2010-01-07,288.45,289.94,286.47,286.62
2010-01-08,284.76,286.51,284.5,285.75
2010-01-11,288.79,288.79,284.24,284.95
2010-01-12,281.9,282.9,277.65,279.26
2010-01-13,278,281.31,275.68,280.91
2010-01-14,281.21,282.33,278.77,279.83
2010-01-15,278.68,279.52,276.85,277.08
2010-01-19,275.59,278.87,274.86,277.88
2010-01-20,275.84,275.97,271.87,273.54
2010-01-21,274.16,275.11,270.96,272.13
2010-01-22,271.32,272.54,269.21,270.68
2010-01-25,271.09,272.03,270.31,271.11
2010-01-26,268.53,269.44,266.71,268.09
2010-01-27,267.06,267.08,261.63,262.72
2010-01-28,263.2,263.56,259.24,260.96
2010-01-29,261.78,263.48,258.49,258.95
2010-02-01,260.27,262.78,259.64,262.18
2010-02-02,264.61,267.34,262.98,266.88
2010-02-03,267.68,267.69,262.82,263.22
2010-02-04,262.95,263.01,255.57,257.53
2010-02-05,256.41,258.47,251.96,253.96
2010-02-08,256.97,259.07,255.42,256.81
2010-02-09,259.51,261.02,257.08,259.52
2010-02-10,259.95,261.47,257.16,260.65
2010-02-11,262.66,264.47,260.21,264.25
2010-02-12,261.3,263.44,259.8,262.87
2010-02-16,266.61,270.65,266.42,269.56
2010-02-17,269.72,270.02,267.64,268.75
2010-02-18,267.41,270.41,266.86,269.3
2010-02-19,267.67,270.72,267.01,270.58
2010-02-22,270.56,270.84,267.92,269.65
2010-02-23,267.9,268.24,265.34,265.4
2010-02-24,264.92,267.64,264.88,267.6
2010-02-25,265.23,265.48,262.22,264.16
2010-02-26,264.9,268.83,264.64,268.57
2010-03-01,268.51,270.48,266.23,266.83
2010-03-02,267.66,270.67,267.13,269.68
2010-03-03,270.42,273.23,270.39,272.63
2010-03-04,272.08,272.14,268.01,268.8
2010-03-05,269.97,272.07,269.72,270.27
2010-03-08,270.55,271.42,268.46,269.96
2010-03-09,267.58,269.56,267,268.78
2010-03-10,269.04,270.88,266.06,268.13
2010-03-11,267.6,267.63,265.82,266.28
2010-03-12,268.01,268.32,264.94,265.8
2010-03-15,264.61,265,262.73,263.62
2010-03-16,264.75,267.27,264.69,266.72
2010-03-17,267.89,269.5,267.06,269.33
2010-03-18,267.98,268.77,266.78,268.04
2010-03-19,267.73,267.77,264.18,265.68
2010-03-22,262.95,266.03,261.57,265.06
2010-03-23,264.26,265.96,264.1,264.5
2010-03-24,260.66,262.52,260.58,262.09
2010-03-25,262.87,263.73,260.2,260.51
2010-03-26,262.11,262.32,260.06,260.31
2010-03-29,262.51,266.34,262.34,265.07
2010-03-30,266.17,266.35,264.75,266.28
2010-03-31,264.66,265.79,264.35,265.23
2010-04-01,267.38,269,266.45,268.65
2010-04-05,269.6,272.05,269.21,271.83
2010-04-06,271.64,272.98,270.51,271.15
2010-04-07,270.53,272.61,269.48,271.13
2010-04-08,268.79,269.96,268.13,268.84
2010-04-09,270.82,271.58,269.79,270.42
2010-04-12,271.39,272.71,269.85,270.27
2010-04-13,269.36,271.97,268.1,271.62
2010-04-14,272.9,275.03,272.58,274.11
2010-04-15,273.34,275.72,273.16,274.49
2010-04-16,274.18,274.58,269.98,271.23
2010-04-19,267.94,269.45,266.71,267.44
2010-04-20,269.74,270.58,269.15,269.95
2010-04-21,269.54,272.47,269.09,270.96
2010-04-22,269.89,271.79,268.04,271.73
2010-04-23,271.37,273.72,270.39,273.09
2010-04-26,274.47,274.84,271.87,272.51
2010-04-27,270.46,272.3,267.44,267.69
2010-04-28,267.51,269.5,267.45,268.77
2010-04-29,270.02,270.43,267.2,267.98
2010-04-30,269.44,270.54,268.38,270.39
2010-05-03,270.82,271.73,269.77,271.09
2010-05-04,268.63,269.12,264.66,265.13
2010-05-05,262.03,262.62,258.54,261.32
2010-05-06,260.52,261.47,256.92,257.56
2010-05-07,257.7,258.97,254.83,258.27
2010-05-10,262.73,263.33,259.51,261.43
2010-05-11,258.49,262.56,258.48,261.57
2010-05-12,263.68,265.31,262.39,263.55
2010-05-13,263.32,264.88,262.29,262.91
2010-05-14,260.11,261.15,256.21,256.63
2010-05-17,255.53,256.03,250.21,251.14
2010-05-18,254.16,255.36,251.5,252.48
2010-05-19,249.27,251.32,247.2,249.06
2010-05-20,246.51,247.83,243.94,246.93
2010-05-21,247.06,250.11,246.03,247.61
2010-05-24,247.75,249.97,247.56,249.14
2010-05-25,244.43,246.35,243.68,245.71
2010-05-26,249.81,251.21,248.49,249.61
2010-05-27,251.77,254.36,251.17,254.26
2010-05-28,254.75,255.23,250.8,251.67
2010-06-01,248.65,252.66,248.63,248.86
2010-06-02,248.29,250.27,246.8,248.84
2010-06-03,248.94,250.63,247.46,250.23
2010-06-04,248.83,249.41,244.8,244.97
2010-06-07,243.75,246.4,243.31,245.53
2010-06-08,245.94,247.32,244.95,246.59
2010-06-09,247.8,249.79,247.62,248.22
2010-06-10,248.43,251.33,248.31,249.31
2010-06-11,250.74,251.59,249.61,251.08
2010-06-14,254.21,256.01,253.76,255.3
2010-06-15,256.05,258.61,255.12,258.56
2010-06-16,257.78,259.18,256.85,258.54
2010-06-17,258.64,259.85,257.4,258.63
2010-06-18,257.56,259.6,256.86,257.89
2010-06-21,261.9,262.59,256.3,257.78
2010-06-22,255.56,258.09,255.4,256.62
2010-06-23,256.84,256.97,253.46,254.13
2010-06-24,254.61,255.8,254.19,255.19
2010-06-25,255.74,258.81,255.66,258.5
2010-06-28,258.25,258.25,255.53,256.2
2010-06-29,252.59,252.78,249.05,249.42
2010-06-30,250.41,252.7,248.87,252.47
2010-07-01,250.53,251,247.77,250.38
2010-07-02,251.14,251.62,248.6,248.94
2010-07-06,251.44,253.34,248.85,248.92
2010-07-07,249.32,253.56,249.25,252.7
2010-07-08,253.33,254.86,251.81,253.69
2010-07-09,253.98,255.7,253.3,254.88
2010-07-12,253.87,254.32,252.01,252.52
2010-07-13,253.4,256.06,253.13,255.25
2010-07-14,254.86,257.3,254.13,255.54
2010-07-15,257.14,259.04,254.76,258.86
2010-07-16,259.22,259.23,254.84,256.13
2010-07-19,256.2,257.07,253.9,255.09
2010-07-20,254.34,256.66,253.54,256.05
2010-07-21,257.86,258.98,256.57,256.9
2010-07-22,258.64,262.16,258.56,261.62
2010-07-23,261.38,261.99,260.49,260.83
2010-07-26,260.06,261.18,259.55,260.58
2010-07-27,261.85,262.2,257.83,258.61
